Score1	Score2	Pearson
Stein Scott Similarity Nist	Jaccard Distance	-0.675662309480564
Stein Scott Similarity Nist	DWT Correlation	0.90987840178357
Stein Scott Similarity Nist	DFT Correlation	0.936511392061614
Stein Scott Similarity Nist	Chebyshev Distance	-0.491153132835614
Stein Scott Similarity Nist	Squared Euclidean Distance	-0.432934921038899
Stein Scott Similarity Nist	Fidelity Similarity	0.771903537906572
Stein Scott Similarity Nist	Matusita Distance	-0.483671749142809
Stein Scott Similarity Nist	Squared-chord Distance	-0.412419623451183
Stein Scott Similarity Nist	Harmonic mean Distance	0.777133135929965
Stein Scott Similarity Nist	Pearson Chi Squared Distance	-0.0786971348765771
Stein Scott Similarity Nist	Neyman Chi Squared Distance	-0.449282633399998
Stein Scott Similarity Nist	Probabilistic symmetric X2 Distance	-0.351512723003532
Stein Scott Similarity Nist	Topsoe Distance	-0.378721647424473
Stein Scott Similarity Nist	Chernoff Distance	-0.647776520256122
Stein Scott Similarity Nist	Ruzicka Distance	-0.811078733525541
Stein Scott Similarity Nist	Roberts Distance	-0.761218680597468
Stein Scott Similarity Nist	Motyka Distance	0.797921017462255
Stein Scott Similarity Nist	Canberra Distance	0.114343869924497
Stein Scott Similarity Nist	Canberra Metric	-0.727704664146744
Stein Scott Similarity Nist	Kulczynski 1 Distance	-0.132376184394822
Stein Scott Similarity Nist	Lorentzian Distance	-0.22660740329566
Stein Scott Similarity Nist	Clark Distance	0.0758975105649849
Stein Scott Similarity Nist	Hellinger Distance	-0.483671749142878
Stein Scott Similarity Nist	Whittaker index of association Distance	-0.0965933378996252
Stein Scott Similarity Nist	Spectral Contrast Angle	-0.682617444931728
Stein Scott Similarity Nist	Wave Hedges Distance	0.13755686918568
Stein Scott Similarity Nist	Dice Similarity	0.667558089080868
Stein Scott Similarity Nist	Inner Product Distance	-0.671800832107857
Stein Scott Similarity Nist	Divergence Distance	0.079855543174734
Stein Scott Similarity Nist	Jensen Differences Distance	-0.378721647424473
Stein Scott Similarity Nist	Kumar Johnson Distance	-0.0537713018266555
Stein Scott Similarity Nist	Avg (L1, L8) Distance	-0.283126145146397
Stein Scott Similarity Nist	Vicis Wave Hadges Distance	-0.0514322168209242
Stein Scott Similarity Nist	Vicis-Symmetric X2 1 Distance	-0.0419975505485625
Stein Scott Similarity Nist	Vicis-Symmetric X2 2 Distance	-0.0788498619392629
Stein Scott Similarity Nist	Vicis-Symmetric X2 3 Distance	-0.325314453455572
Stein Scott Similarity Nist	Max Symmetric Chi Squared Distance	-0.0786970281964021
Stein Scott Similarity Nist	Min Symmetric Chi Squared Distance	-0.450517491181686
Stein Scott Similarity Nist	Additive Symmetric Chi Squared	-0.0788498619392629
Stein Scott Similarity Nist	Battacharya Distance	-0.507280678614604
Stein Scott Similarity Nist	Generalized Ochai Index	-0.794422552023292
Stein Scott Similarity Nist	Gower Distance	-0.44539126949114
Stein Scott Similarity Nist	Improved Square Root Cosine Similarity	0.466865586057877
Stein Scott Similarity Nist	Intersection Similarity	0.762910214358774
Stein Scott Similarity Nist	J Divergence	-0.495316512987594
Stein Scott Similarity Nist	Jensen Shannon Index	-0.378721647424473
Stein Scott Similarity Nist	K Divergence	-0.234730372797015
Stein Scott Similarity Nist	VW6	-0.450517491181686
Stein Scott Similarity Nist	VW5	-0.0786970281964021
Stein Scott Similarity Nist	VW4	-0.325314453455572
Stein Scott Similarity Nist	VW3	-0.0788498619392629
Stein Scott Similarity Nist	VW2	-0.0419975505485625
