Score1	Score2	Pearson
Cosine Correlation	Kulczynski 1 Distance	-0.0965090933653271
Cosine Correlation	Lorentzian Distance	-0.885143652125027
Cosine Correlation	Clark Distance	0.0541419443040283
Cosine Correlation	Hellinger Distance	-0.884270774880109
Cosine Correlation	Whittaker index of association Distance	-0.197346348137969
Cosine Correlation	Spectral Contrast Angle	-0.994237576979078
Cosine Correlation	Wave Hedges Distance	0.0905424589658493
Cosine Correlation	Dice Similarity	0.989518435637933
Cosine Correlation	Inner Product Distance	-0.81745563560898
Cosine Correlation	Divergence Distance	0.0513494233171656
Cosine Correlation	Jensen Differences Distance	-0.907778792538051
Cosine Correlation	Kumar Johnson Distance	-0.0600492868712207
Cosine Correlation	Avg (L1, L8) Distance	-0.854208351752788
Cosine Correlation	Vicis Wave Hadges Distance	-0.0857713754128022
Cosine Correlation	Vicis-Symmetric X2 1 Distance	-0.0403576890793744
Cosine Correlation	Vicis-Symmetric X2 2 Distance	-0.116390046224635
Cosine Correlation	Vicis-Symmetric X2 3 Distance	-0.910601462079039
Cosine Correlation	Max Symmetric Chi Squared Distance	-0.116023487893044
Cosine Correlation	Min Symmetric Chi Squared Distance	-0.355738423820507
Cosine Correlation	Additive Symmetric Chi Squared	-0.116390046224635
Cosine Correlation	Battacharya Distance	-0.483491610892346
Cosine Correlation	Generalized Ochai Index	-0.901138842739657
Cosine Correlation	Gower Distance	-0.428729906951507
Cosine Correlation	Improved Square Root Cosine Similarity	0.59982866859195
Cosine Correlation	Intersection Similarity	0.901138842739679
Cosine Correlation	J Divergence	-0.771434447443535
Cosine Correlation	Jensen Shannon Index	-0.907778792538051
Cosine Correlation	K Divergence	-0.874525653130425
Cosine Correlation	VW6	-0.355738423820507
Cosine Correlation	VW5	-0.116023487893044
Cosine Correlation	VW4	-0.910601462079039
Cosine Correlation	VW3	-0.116390046224635
Cosine Correlation	VW2	-0.0403576890793744
Cosine Correlation	VW1	-0.0857713754128022
Cosine Correlation	Taneja Divergence	-0.762804756936534
Cosine Correlation	Symmetric Chi Squared Distance	-0.0857713748270101
Cosine Correlation	Squared Chi Squared Distance	-0.912139726850545
Cosine Correlation	Square Root Cosine Correlation	0.893028171941016
Cosine Correlation	Sorensen Distance	-0.901138842739657
Cosine Correlation	Minokowski 3 Distance	-0.548888996147173
Cosine Correlation	Minokowski 4 Distance	-0.51836790206174
Cosine Correlation	Kumar Johnson Divergence	-0.0600492868712207
Cosine Correlation	Kumar Hassebrook Similarity	0.969205071883193
Cosine Correlation	Kullback Leibler Divergence	-0.628424456697672
Cosine Correlation	Soergel Distance	-0.872781227001809
Stein Scott Similarity	Spectral Similarity Score	0.553763430137905
Stein Scott Similarity	Weighted Cosine Correlation	0.922986313065676
Stein Scott Similarity	Cosine Correlation	0.553763430137905
Stein Scott Similarity	Stein Scott Similarity	1
Stein Scott Similarity	Stein Scott Similarity Nist	0.957695447700103
Stein Scott Similarity	Pearson Correlation	0.552160779917477
